1	из подполья	1	36
2	и в	1	34
3	и не	2	29
4	в этом	2	16
5	все это	1	16
6	он не	2	15
7	и с	3	15
8	для него	1	13
9	никогда не	1	8
10	я не	1	7
11	что в	2	7
12	отношению к	1	6
13	так и	1	6
14	а в	1	5
15	в целом	1	5
16	и сам	1	5
17	того что	1	5
18	по отношению	1	5
19	он с	1	4
20	все эти	1	4
21	бы его	1	4
22	если бы	1	4
23	с другой	1	4
24	ничего не	2	4
25	тем что	1	4
26	ненависть к	1	3
27	есть только	1	3
28	жизни и	1	3
29	только что	1	3
30	записок из	2	3
31	бы в	1	3
32	для других	1	3
33	это было	1	3
34	а с	1	3
35	говорить о	1	3
36	другой стороны	1	3
37	несут и	1	2
38	ибо и	1	2
39	за границей	1	2
40	самого себя	2	2
41	и без	1	2
42	того же	1	2
43	и со	1	2
44	эпизод с	1	2
45	в них	1	2
46	со всеми	1	2
47	нисколько не	1	2
48	не кто	1	1
49	того чтобы	1	1
50	самого достоевского	1	1
51	и о	1	1
52	себя в	1	1
53	жизни этого	1	1
54	придется не	1	1
55	жил в	1	1
56	только для	1	1
57	кто иной	1	1
58	тех же	1	1
59	творчества достоевского	2	1
60	в основе	1	1
61	же это	1	1
62	введение в	1	1
63	этим и	1	1
64	стало быть	1	1
65	на котором	1	1
66	в значительной	1	1
67	не так	1	1
68	достоевского с	1	1
69	должен быть	2	1
70	все ясно	1	1
71	иной как	1	1
72	федор павлович	1	1
73	для того	1	1
74	не случайно	1	1
75	и тот	1	1
76	еще одной	1	1
77	точно и	1	1
78	в эту	1	1
79	доказать что	1	1
80	и ничего	1	1
81	них не	1	1
