N	3gram	Berdyaev_V_1	Myshleni
1	в том что	2	21
2	по сравнению с	1	5
3	хотя бы и	1	2
4	бы то ни	1	1
5	в общественной жизни	1	1
6	по этому пути	2	1
7	что уже сказано	1	1
8	лишено всякого смысла	1	1
9	самой жизни в	1	1
10	как и в	1	1
11	он говорит что	1	1
12	этому же пути	1	1
13	тот же упрек	1	1
14	с другой стороны	1	1
15	и теперь в	1	1
16	за то что	3	1
17	по этому же	1	1
18	вместо того чтобы	2	1
19	связать себя с	1	1
20	что он так	1	1
21	и вообще в	1	1
22	не могут быть	1	1
23	против того что	1	1
24	вот почему в	1	1
25	уж конечно не	2	1
26	в известном смысле	1	1
27	лишь в процессе	1	1
28	том что он	2	1
29	после того как	1	1
30	в этом нет	1	1
31	если оно не	1	1
32	то и другое	1	1
