N	3gram	Tiupa_Vved_1	formyVre
1	то же время	3	9
2	в то же	4	6
3	и в то	1	5
4	и того же	1	5
5	одного и того	1	5
6	в связи с	1	5
7	героя и героини	1	5
8	в том числе	1	4
9	времени и пространства	1	4
10	по отношению к	7	3
11	не могло быть	1	3
12	в этом отношении	4	3
13	может быть только	1	3
14	в нем не	1	3
15	не может быть	3	3
16	с одной стороны	5	2
17	не было и	1	2
18	человеческой жизни в	1	2
19	как и в	2	2
20	друг на друга	1	2
21	и прежде всего	1	2
22	в том что	3	2
23	в этом мире	1	2
24	как если бы	1	2
25	жизни то есть	1	2
26	в отличие от	2	2
27	все то что	1	2
28	по природе своей	1	2
29	не только в	2	2
30	той или иной	2	2
31	одной стороны и	1	2
32	как и для	1	2
33	пространственных и временных	1	2
34	но и в	2	2
35	том числе и	1	2
36	в соответствии с	6	2
37	к тому же	4	2
38	в том же	1	1
39	и все же	4	1
40	о том что	4	1
41	было бы не	1	1
42	и не столько	1	1
43	во всех его	1	1
44	так и по	1	1
45	слияние пространственных и	1	1
46	и временных примет	1	1
47	по своей природе	2	1
48	в литературно-художественном хронотопе	1	1
49	интенсифицируется втягивается в	1	1
50	художественно-зримым пространство же	1	1
51	как мы увидим	1	1
52	времени сюжета истории	1	1
53	втягивается в движение	1	1
54	имеет место слияние	1	1
55	и в этом	1	1
56	не о чем	1	1
57	до известной степени	1	1
58	в нашем случае	2	1
59	место слияние пространственных	1	1
60	у него нет	1	1
61	становится художественно-зримым пространство	1	1
62	жизни но и	1	1
63	на второй план	1	1
64	здесь как и	1	1
65	в осмысленном и	1	1
66	в этом ряду	2	1
67	движение времени сюжета	1	1
68	в этом случае	1	1
69	и т.п в	1	1
70	человек в нем	1	1
71	здесь сгущается уплотняется	1	1
72	во времени и	1	1
73	но в этом	1	1
74	как раз не	1	1
75	в значительной степени	1	1
76	и конкретном целом	1	1
77	уплотняется становится художественно-зримым	1	1
78	прежде всего на	1	1
79	и в самом	1	1
80	все без исключения	1	1
81	же интенсифицируется втягивается	1	1
82	примет в осмысленном	1	1
83	нет как мы	1	1
84	в той или	1	1
85	в движение времени	1	1
86	сгущается уплотняется становится	1	1
87	в данном случае	6	1
88	в зависимости от	1	1
89	конкретном целом время	1	1
90	временных примет в	1	1
91	ведет не к	1	1
92	в этом и	1	1
93	целом время здесь	1	1
94	сами по себе	1	1
95	бы не о	1	1
96	или иной степени	1	1
97	в высшей степени	2	1
98	не входит в	1	1
99	времени и пространстве	1	1
100	пространство же интенсифицируется	1	1
101	осмысленном и конкретном	1	1
102	время здесь сгущается	1	1
103	то есть в	1	1
104	во всяком случае	1	1
105	в свою очередь	4	1
106	было и не	1	1
107	и не могло	1	1
108	на полноту и	2	1
