N	4gram	Vygotskiy__5	VeschiIm
1	не что иное как	2	8
2	одно и то же	3	5
3	указывает на то что	2	3
4	заключается в том что	4	2
5	с этой точки зрения	1	2
6	дело в том что	1	2
7	с одной стороны и	1	1
8	когда мы говорили о	1	1
9	мы видим таким образом	1	1
10	не только то что	1	1
11	ни о чем не	1	1
12	видим таким образом что	1	1
13	решить вопрос о том	1	1
14	что с точки зрения	1	1
15	из того что мы	1	1
16	одного и того же	2	1
17	только в зависимости от	1	1
18	в том что он	1	1
19	том что он не	1	1
20	в то время как	1	1
21	сами по себе совершенно	1	1
