N	3gram	Kanaev_Sov_1	Narrotol
1	в данном случае	1	8
2	в том что	1	5
3	в то же	1	4
4	то же время	1	4
5	той или иной	1	4
6	не может быть	4	4
7	по отношению к	1	3
8	тем не менее	2	3
9	на другой день	1	3
10	из этих двух	1	2
11	в самом деле	1	2
12	заключает в себе	1	2
13	в известном смысле	1	2
14	друг на друга	1	2
15	до сих пор	1	2
16	в отличие от	2	2
17	то же самое	2	2
18	в связи с	1	2
19	в зависимости от	4	2
20	сами по себе	1	2
21	дело в том	1	2
22	и все же	1	2
23	во всяком случае	2	2
24	в свою очередь	2	2
25	мы не можем	6	1
26	с одной стороны	1	1
27	и тот же	1	1
28	и еще более	1	1
29	к чему мы	1	1
30	в том случае	1	1
31	какой бы то	1	1
32	одна из них	1	1
33	бы то ни	1	1
34	друг с другом	2	1
35	и в то	1	1
36	с точки зрения	5	1
37	что иное как	1	1
38	один и тот	1	1
39	с и т.д	1	1
40	то ни было	1	1
41	на две половины	1	1
42	не подлежит сомнению	2	1
43	в предыдущей главе	1	1
44	и та же	1	1
45	и не может	1	1
46	он уже не	1	1
47	на самом деле	1	1
48	мы не знаем	1	1
49	которая не может	1	1
50	к нему иначе	1	1
51	в конечном счете	1	1
52	может быть и	2	1
53	при которой он	1	1
54	но все же	1	1
55	одна и та	1	1
56	мы уже знаем	1	1
57	случае не подлежит	1	1
58	на этот раз	1	1
59	по крайней мере	1	1
