N	4gram	Bakhtin_Pr_2	FransuaR
1	в то же время	5	10
2	мы уже говорили что	2	5
3	большей или меньшей степени	1	3
4	в большей или меньшей	1	3
5	в том числе и	1	2
6	и до настоящего времени	1	2
7	но в то же	3	2
8	дело в том что	1	2
9	и до сих пор	1	2
10	с одной стороны и	1	1
11	не во всякую эпоху	1	1
12	в большинстве случаев в	1	1
13	одна из существеннейших особенностей	1	1
14	в том или ином	1	1
15	в той или иной	3	1
16	то же время не	1	1
17	бы то ни было	1	1
18	как мы уже говорили	1	1
19	той или иной степени	1	1
20	никогда не может быть	1	1
21	дело конечно не в	1	1
