N	3gram	Nazirov_Vr_1	Mirosoze
1	не может быть	2	8
2	его отношение к	1	4
3	это и есть	1	3
4	так же как	1	3
5	и в этом	1	3
6	отношение достоевского к	1	3
7	в высшей степени	1	3
8	до сих пор	1	3
9	о том что	1	2
10	и никогда не	1	2
11	но это не	1	2
12	может быть и	1	2
13	в том что	2	2
14	и верил в	1	1
15	в нем самом	1	1
16	сам достоевский в	1	1
17	преступления и наказания	1	1
18	что он сам	1	1
19	в письме к	2	1
20	а следовательно и	1	1
21	а также в	1	1
22	это сама жизнь	1	1
23	что это за	1	1
24	в конце концов	1	1
25	преступлении и наказании	1	1
26	на то что	1	1
27	на большую высоту	1	1
28	за границей и	1	1
29	для достоевского был	1	1
30	его отношения к	1	1
31	записках из подполья	1	1
32	мыслей и чувств	1	1
33	ничего уже не	1	1
34	в тридцать лет	1	1
35	но и это	1	1
36	он сам в	1	1
37	ней ничего не	1	1
38	в этом отношении	1	1
39	на пиру жизни	1	1
40	людей уже в	2	1
41	что у него	1	1
42	преступление и наказание	1	1
43	и во всем	1	1
44	в преступлении и	1	1
45	с точки зрения	2	1
46	в ней ничего	1	1
47	а между тем	1	1
