N	3gram	Berdyaev_N_1	Myslijsy
1	в том что	1	16
2	не в том	1	5
3	заключает в себе	1	5
4	не только в	1	4
5	вместе с тем	2	4
6	с другой стороны	2	4
7	но и в	1	4
8	в то время	1	4
9	с одной стороны	2	3
10	потому что не	1	3
11	до сих пор	1	3
12	в том смысле	1	3
13	может быть только	1	3
14	не может быть	4	3
15	не могут быть	1	2
16	как и в	1	2
17	смысле в каком	1	2
18	только потому что	1	2
19	подобно тому как	3	2
20	в том чтобы	1	2
21	о том что	1	1
22	в виду эту	1	1
23	и не менее	1	1
24	это значит что	1	1
25	должно было быть	1	1
26	в том случае	1	1
27	многое зависит от	1	1
28	том смысле в	1	1
29	еще не знает	1	1
30	не в смысле	2	1
31	равно как и	2	1
32	имея в виду	1	1
33	и совсем не	1	1
34	то время как	1	1
35	лишь в том	1	1
36	по своему строению	1	1
37	не в силах	1	1
38	к вопросу о	1	1
39	для себя и	1	1
40	сами по себе	1	1
41	со всех сторон	3	1
42	на это не	1	1
43	быть не может	1	1
44	а не в	1	1
45	то нужно будет	1	1
46	но оно есть	1	1
