N	4gram	Medvedev_F_3	Vvedenie
1	в то же время	7	6
2	той мере в какой	1	5
3	в той мере в	1	5
4	и тем не менее	1	3
5	одной и той же	1	2
6	дело в том что	1	2
7	так а не иначе	1	1
8	то же самое и	1	1
9	в хорошем смысле этого	1	1
10	в собственном смысле слова	1	1
11	с этой точки зрения	1	1
12	мы имеем в виду	1	1
13	предполагает ту или иную	1	1
14	хорошем смысле этого слова	1	1
15	в том или ином	1	1
16	так как и эти	1	1
17	одно из необходимых условий	1	1
18	вовсе не вытекает из	1	1
19	т д таким образом	1	1
20	бы то ни было	4	1
21	одного и того же	1	1
22	и т д таким	1	1
23	какой бы то ни	1	1
