N	3gram	Propp_Russ_2	Tvorches
1	в том что	18	6
2	о том что	4	5
3	дело в том	1	3
4	том что в	1	2
5	в этой связи	1	2
6	можно сказать что	1	2
7	в данном случае	6	2
8	тем не менее	2	2
9	с одной стороны	2	1
10	как это имеет	1	1
11	в момент наивысшего	1	1
12	к жизни в	1	1
13	это имеет место	1	1
14	как и в	1	1
15	в первую очередь	1	1
16	в том же	1	1
17	было бы говорить	1	1
18	с другой стороны	1	1
19	но это не	1	1
20	а может быть	1	1
21	в отличие от	3	1
22	дело не в	1	1
23	еще далеко не	1	1
24	бросается в глаза	2	1
25	в своей книге	2	1
26	они представляют собой	2	1
27	и в других	4	1
28	на первый взгляд	1	1
29	и т д	5	1
30	но она не	2	1
31	но все это	1	1
32	в настоящее время	1	1
33	не что иное	2	1
34	то что в	1	1
35	бы говорить о	1	1
36	в разные стороны	1	1
37	может быть назван	1	1
38	на самом же	2	1
39	самом же деле	2	1
40	что иное как	2	1
41	вместе с тем	4	1
42	далеко не так	1	1
43	те и другие	1	1
44	а вместе с	1	1
45	не может не	1	1
46	в свою очередь	1	1
47	из гроба и	1	1
