N	2gram	Medvedev_I_1	Vladivir
1	и в	1	31
2	и не	2	17
3	и с	3	14
4	что в	2	14
5	в этом	2	14
6	по поводу	1	12
7	он не	2	10
8	а в	1	9
9	с а	1	9
10	никогда не	1	9
11	для него	1	7
12	и и	1	7
13	того же	1	6
14	так и	1	6
15	это было	1	6
16	и сам	1	6
17	жизни и	1	5
18	а с	1	5
19	а также	1	5
20	все это	1	5
21	это был	1	5
22	после смерти	1	4
23	что для	1	4
24	я не	1	4
25	себя в	1	4
26	все эти	1	3
27	и очень	1	3
28	в целом	1	3
29	ничего не	2	3
30	другой стороны	1	3
31	с другой	1	3
32	нисколько не	1	2
33	тех же	1	2
34	от нее	1	2
35	и тот	1	2
36	оба они	2	2
37	то и	1	2
38	того чтобы	1	2
39	того что	1	2
40	только что	1	2
41	и о	1	2
42	для того	1	2
43	и еще	1	2
44	был человек	1	2
45	тем что	1	2
46	в них	1	2
47	а по	1	2
48	за границей	1	2
49	во многом	1	2
50	по существу	1	2
51	в значительной	1	1
52	самого себя	2	1
53	бы в	1	1
54	о ней	1	1
55	вплоть до	1	1
56	человеке и	1	1
57	и ничего	1	1
58	и создавал	1	1
59	он с	1	1
60	и без	1	1
61	со всеми	1	1
62	факты и	1	1
63	к нам	1	1
64	ходить в	1	1
65	было не	1	1
66	пушкина и	1	1
67	к отцу	1	1
68	по отношению	1	1
69	когда его	1	1
70	них не	1	1
71	еще одной	1	1
72	нам в	1	1
73	нее и	1	1
74	его личности	1	1
75	этим и	1	1
76	его полным	1	1
77	значительной мере	1	1
78	есть только	1	1
79	всего творчества	1	1
80	знакомство с	1	1
81	если бы	1	1
82	как о	1	1
83	для других	1	1
