N	3gram	Potebnia_M_4	Morfolog
1	и т д	3	47
2	в этих случаях	2	13
3	в этом случае	5	9
4	в связи с	1	8
5	не может быть	5	8
6	подобно тому как	2	5
7	таким образом мы	2	5
8	не может считаться	1	4
9	по отношению к	8	4
10	с точки зрения	3	4
11	тем не менее	4	4
12	с другой стороны	1	4
13	может быть названо	1	3
14	как и в	1	3
15	на самом деле	3	3
16	не могут быть	2	3
17	с одной стороны	1	2
18	в большинстве случаев	2	2
19	тем и другим	3	2
20	может быть и	1	2
21	для того чтобы	4	2
22	можно сделать из	1	2
23	в том что	7	2
24	на первый взгляд	1	2
25	в то время	1	2
26	в настоящее время	1	2
27	точно так же	1	2
28	и таким образом	3	2
29	это не значит	2	2
30	образом мы видим	1	2
31	отсюда видно что	1	2
32	во всех подобных	1	1
33	с самого начала	1	1
34	таким образом что	2	1
35	в таком случае	2	1
36	уже было бы	1	1
37	же время и	1	1
38	в то же	3	1
39	деле в этом	1	1
40	в том случае	3	1
41	о том как	1	1
42	нужно помнить что	1	1
43	этот вопрос мы	1	1
44	мы можем заметить	1	1
45	может быть сделано	1	1
46	можно сравнить с	2	1
47	можно сказать что	4	1
48	бы они ни	1	1
49	из которых один	1	1
50	так как мы	1	1
51	иметь в виду	1	1
52	в сущности эта	1	1
53	дело не в	1	1
54	что же касается	1	1
55	может быть объяснено	1	1
56	к тому что	1	1
57	о том что	5	1
58	том случае если	1	1
59	бы они и	1	1
60	первый взгляд кажется	1	1
61	он может быть	1	1
62	теми или другими	1	1
63	могут быть названы	1	1
64	на то что	4	1
65	не что иное	2	1
66	выводы можно сделать	1	1
67	к другу и	1	1
68	но он может	1	1
69	в первый раз	1	1
70	что до этого	1	1
71	которые могут быть	1	1
72	сих пор не	1	1
73	к развитию и	1	1
74	если же он	1	1
75	то же время	3	1
76	друг к другу	1	1
77	и многие другие	1	1
78	есть не что	1	1
79	можем заметить что	1	1
80	другу и к	1	1
81	заметим только что	1	1
82	заметить что в	1	1
83	то это не	1	1
84	что иное как	2	1
85	но если бы	1	1
86	всех подобных случаях	1	1
87	на этот вопрос	2	1
88	все более и	2	1
89	но так как	1	1
90	ответить на этот	1	1
91	во всяком случае	3	1
92	если бы мы	1	1
93	что и в	2	1
94	это было бы	1	1
95	т д то	1	1
96	в данном случае	2	1
97	а в с	1	1
98	хотя и не	1	1
99	более и более	2	1
100	не то что	3	1
101	до сих пор	4	1
