N	3gram	Nazirov_Vr_1	Literetu
1	в том что	2	11
2	в то же	4	5
3	то же время	4	5
4	в связи с	3	4
5	в том же	1	3
6	в русской литературе	3	3
7	о том что	1	2
8	и то что	1	2
9	с точки зрения	2	2
10	уже в году	1	2
11	все же в	1	2
12	но при этом	1	2
13	в этом отношении	1	2
14	тем не менее	1	2
15	в е годы	1	2
16	во всяком случае	1	2
17	одним из первых	1	1
18	и т.п ему	1	1
19	х годов в	1	1
20	между прочим и	1	1
21	тогда же в	1	1
22	не только от	1	1
23	в романе достоевского	1	1
24	в это время	1	1
25	но в то	2	1
26	и в этом	1	1
27	войне и мире	1	1
28	в ответ на	1	1
29	с другой стороны	1	1
30	до сих пор	1	1
31	а с другой	1	1
32	тем более что	1	1
33	на первый взгляд	1	1
34	на то что	1	1
35	преступления и наказания	1	1
36	что он сам	1	1
37	едва ли не	1	1
38	и во всей	1	1
39	в войне и	1	1
40	в году когда	1	1
41	то что я	1	1
42	но и от	1	1
43	имел в виду	3	1
44	в свою очередь	1	1
45	но не менее	1	1
46	в соответствии с	1	1
47	по крайней мере	1	1
48	имеется в виду	1	1
49	не может быть	2	1
