N	4gram	Tiupa_Disk_1	Myshleni
1	заключается в том что	1	4
2	одно и то же	1	2
3	может быть сведено к	1	2
4	с одной стороны и	2	1
5	лишь в тех случаях	1	1
6	если можно так выразиться	1	1
7	в том числе и	2	1
8	и в то же	1	1
9	в то же время	3	1
10	состоит в том чтобы	1	1
11	но и потому что	1	1
12	как и все прочие	1	1
13	или во всяком случае	1	1
14	и то же время	1	1
15	в одно и то	1	1
16	одной стороны и к	1	1
17	в том что он	1	1
18	в том что в	2	1
19	в тех случаях когда	1	1
20	дело в том что	1	1
21	той ситуации в которой	1	1
