N	3gram	Nazirov_Vr_1	Komedia
1	до сих пор	1	9
2	в том что	2	9
3	в свою очередь	1	6
4	о том что	1	4
5	в то же	4	4
6	то же время	4	4
7	лет тому назад	1	4
8	о том как	1	3
9	тем не менее	1	3
10	речь идет о	1	3
11	и в самом	1	3
12	в связи с	3	3
13	с точки зрения	2	3
14	во всяком случае	1	3
15	он и не	1	2
16	с другой стороны	1	2
17	в то время	1	2
18	ироническое отношение к	1	2
19	в этом отношении	1	2
20	в конце концов	1	2
21	на этот раз	1	2
22	не хочет быть	1	2
23	х годов в	1	1
24	и в то	1	1
25	молодой человек в	1	1
26	в том же	1	1
27	в ответ на	1	1
28	равно как и	1	1
29	на то что	1	1
30	на первый план	1	1
31	не с точки	1	1
32	и в этом	1	1
33	и о том	2	1
34	как раз в	2	1
35	не последнее место	1	1
36	едва ли не	1	1
37	независимо от того	1	1
38	ли не самым	1	1
39	и не может	1	1
40	к себе на	1	1
41	из ненависти к	1	1
42	но в этот	1	1
43	но об этом	1	1
44	в этот момент	2	1
45	в другой раз	1	1
46	и во многом	1	1
47	и никогда не	1	1
48	у целого ряда	1	1
49	что у него	1	1
50	это же время	1	1
51	а с точки	1	1
52	но при этом	1	1
53	как бы в	1	1
54	есть все основания	1	1
55	с просьбой о	1	1
56	его в том	1	1
57	в это же	1	1
58	в третий раз	1	1
59	его отношение к	1	1
60	в соответствии с	1	1
61	по крайней мере	1	1
