N	3gram	Propp_Russ_2	KFilosof
1	не может быть	3	11
2	может быть только	2	6
3	и в этом	1	3
4	между тем как	1	3
5	для нас важно	1	2
6	вопрос о том	1	2
7	здесь мы имеем	1	2
8	в том что	18	2
9	ничего общего не	1	2
10	во всех этих	1	2
11	тем не менее	2	2
12	мы не можем	2	1
13	в том же	1	1
14	но все это	1	1
15	иной мир в	1	1
16	и одна из	1	1
17	только тогда когда	3	1
18	и связанных с	1	1
19	ко всему что	1	1
20	смысле этого слова	1	1
21	не отличаются от	1	1
22	мы не имеем	1	1
23	должен быть признан	1	1
24	но может быть	1	1
25	а именно в	2	1
26	всех этих случаях	1	1
27	но это не	1	1
28	может быть и	1	1
29	для того чтобы	6	1
30	потому что в	1	1
31	на то что	1	1
32	одновременно и в	1	1
33	дело не в	1	1
34	мы имеем не	2	1
35	не было ни	1	1
36	тем как оно	1	1
37	общего не имеет	1	1
38	в настоящее время	1	1
39	во всяком случае	1	1
40	там где есть	1	1
41	дело в том	1	1
42	вместе с тем	4	1
43	не может не	1	1
44	в свою очередь	1	1
