N	3gram	Berdyaev_O_1	Literetu
1	в этом отношении	1	5
2	о том что	1	4
3	в том что	1	4
4	не может быть	2	3
5	как например в	1	2
6	в самом деле	1	2
7	но и в	2	2
8	и в самом	1	2
9	на то что	1	2
10	в другом месте	1	1
11	хотя и не	1	1
12	одно из самых	1	1
13	о том как	1	1
14	так и не	1	1
15	как будто бы	1	1
16	о которой в	1	1
17	у него не	2	1
18	то что в	1	1
19	к человеку и	4	1
20	и то что	1	1
21	в самом начале	1	1
22	но он и	1	1
23	которой в другом	1	1
24	в этих словах	1	1
25	человеческого духа в	1	1
26	он и не	1	1
27	как бы в	1	1
28	для того чтобы	3	1
29	и в том	1	1
30	а не только	1	1
31	до самого конца	2	1
