N	2gram	Medvedev_I_1	FransuaR
1	и в	1	40
2	в этом	2	15
3	и не	2	13
4	что в	2	12
5	в них	1	9
6	он не	2	9
7	все эти	1	8
8	и с	3	8
9	и др	1	7
10	для него	1	5
11	со всеми	1	5
12	в основе	1	5
13	жизни и	1	4
14	того чтобы	1	4
15	в эту	1	4
16	и о	1	4
17	а также	1	4
18	все это	1	4
19	в значительной	1	3
20	так и	1	3
21	не так	1	3
22	а в	1	3
23	вплоть до	1	3
24	по отношению	1	3
25	для того	1	3
26	тем что	1	3
27	только для	1	3
28	если бы	1	3
29	в целом	1	2
30	того же	1	2
31	отношению к	1	2
32	эпизод с	1	2
33	он с	1	2
34	и очень	1	2
35	и еще	1	2
36	что для	1	2
37	и сам	1	2
38	с другой	1	2
39	как о	1	2
40	его произведения	1	2
41	и тот	1	1
42	после смерти	1	1
43	в художественном	1	1
44	но когда	1	1
45	не смерть	1	1
46	а для	1	1
47	работы не	1	1
48	было не	1	1
49	следовательно в	1	1
50	нисколько не	1	1
51	них не	1	1
52	от этого	1	1
53	никогда не	1	1
54	ничего не	2	1
55	другой стороны	1	1
56	того что	1	1
57	под редакцией	1	1
58	доказать что	1	1
59	с жизнью	1	1
60	ученики и	1	1
61	во многом	1	1
62	комплекс в	1	1
63	страхом перед	1	1
64	бы все	1	1
65	это было	1	1
66	значительной мере	1	1
