1	в то же время	12	7
2	бы то ни было	1	4
3	одни и те же	1	3
4	и в то же	5	2
5	на самом же деле	1	2
6	с точки зрения самого	2	2
7	и т п в	1	2
8	является лишь одним из	1	1
9	каково бы оно ни	1	1
10	с другой стороны эти	1	1
11	в неразрывной связи с	1	1
12	бы оно ни было	1	1
13	одной и той же	1	1
14	в этом случае в	1	1
15	с этой точки зрения	1	1
16	не выходит за пределы	3	1
17	в одной плоскости с	1	1
18	могут противоречить друг другу	1	1
19	мы имеем в виду	1	1
20	в каждый данный момент	4	1
21	дело в том что	1	1
22	как бы ни были	1	1
23	жанра может быть только	1	1
24	не может внести в	1	1
25	не значит конечно что	1	1
26	это не значит конечно	1	1
