N	3gram	Savitsky_E_1	Literetu
1	в то же	15	7
2	то же время	14	7
3	к тому же	1	5
4	в отличие от	1	5
5	в этом отношении	3	5
6	с одной стороны	8	4
7	в том что	6	4
8	в данном случае	2	4
9	не говоря уже	2	4
10	в том числе	1	3
11	не может быть	2	3
12	с точки зрения	16	3
13	говоря уже о	1	3
14	в соответствии с	1	3
15	и тем самым	1	2
16	по большей части	1	2
17	и в частности	2	2
18	из того что	2	2
19	с другой стороны	2	2
20	в одном из	2	2
21	не только в	4	2
22	той или иной	4	2
23	одной стороны и	6	2
24	бы то ни	4	2
25	но и в	1	2
26	том числе и	1	2
27	на то что	2	2
28	то ни было	4	2
29	говоря уже об	1	1
30	во второй половине	2	1
31	в связи с	1	1
32	и только в	2	1
33	и не имеет	2	1
34	а также в	1	1
35	же время в	1	1
36	но и для	1	1
37	так как мы	1	1
38	несмотря на его	1	1
39	для того чтобы	5	1
40	но не в	1	1
41	хотя бы и	3	1
42	но не только	2	1
43	к тому что	1	1
44	и не только	1	1
45	этой точки зрения	5	1
46	в его руках	1	1
47	в отношении к	12	1
48	в значительной степени	1	1
49	более или менее	1	1
50	в каждой своей	1	1
51	то что в	2	1
52	если бы они	1	1
53	почти никогда не	1	1
54	только в том	2	1
55	друг от друга	2	1
56	с этой точки	5	1
57	в той или	3	1
58	ту или иную	3	1
59	в свою очередь	2	1
60	хотя и не	1	1
