N	3gram	Nazirov_Tv_1	Myshleni
1	по отношению к	1	12
2	в том что	6	11
3	в известном смысле	1	7
4	заключается в том	1	5
5	с самого начала	3	5
6	можно сказать что	2	5
7	о том что	5	4
8	это значит что	1	4
9	то же самое	1	4
10	с одной стороны	1	3
11	и того же	1	3
12	одного и того	1	3
13	в свою очередь	1	3
14	не то что	1	3
15	до сих пор	1	3
16	том что в	2	2
17	значит что он	1	2
18	в основе этой	1	2
19	с другой стороны	1	2
20	что он не	1	2
21	вместе с тем	1	2
22	но при этом	1	2
23	в отличие от	1	2
24	как частный случай	1	2
25	то и другое	1	2
26	не только для	1	1
27	в том же	1	1
28	на самом деле	2	1
29	в этой области	1	1
30	в этой связи	2	1
31	в то же	13	1
32	но тем самым	1	1
33	мы уже говорили	1	1
34	да и в	1	1
35	это означало бы	1	1
36	в первую очередь	1	1
37	бы говорить о	1	1
38	могут быть названы	1	1
39	таким образом и	1	1
40	как и его	1	1
41	к тому что	1	1
42	он принадлежит к	1	1
43	а если мы	1	1
44	имеем в виду	1	1
45	не менее чем	1	1
46	по нашему мнению	5	1
47	мы узнаем что	1	1
48	же самое время	1	1
49	в прямом смысле	1	1
50	означает в то	1	1
51	ту же самую	1	1
52	не что иное	1	1
53	при этом она	1	1
54	мы имеем в	1	1
55	не могут быть	1	1
56	в связи с	1	1
57	что иное как	1	1
58	не может не	1	1
59	к вопросу о	1	1
60	язык в школе	1	1
61	означало бы что	1	1
62	те и другие	1	1
63	является одним из	2	1
64	я не могу	1	1
65	все более и	1	1
66	потому что я	1	1
67	тем не менее	2	1
68	и что в	1	1
69	мы никогда не	1	1
70	более и более	1	1
71	в этом пункте	1	1
