N	3gram	Berdyaev_N_1	Morfolog
1	не может быть	4	8
2	подобно тому как	3	5
3	наряду с этим	1	5
4	с другой стороны	2	4
5	как и в	1	3
6	не могут быть	1	3
7	с одной стороны	2	2
8	в большинстве случаев	1	2
9	в том что	1	2
10	в то время	1	2
11	не значит что	3	2
12	то время как	1	2
13	это не значит	2	2
14	это значит что	1	1
15	в том случае	1	1
16	смысле слова а	1	1
17	нужно помнить что	1	1
18	в наши дни	3	1
19	о том что	1	1
20	по своему строению	1	1
21	ни одна из	2	1
22	том случае если	1	1
23	то что он	1	1
24	можно было бы	1	1
25	он не может	2	1
26	этого не знает	1	1
27	которые могут быть	1	1
28	от вопроса о	1	1
29	как будто не	1	1
30	во всяком случае	1	1
31	совсем не означает	1	1
32	до сих пор	1	1
