1	не только	1	31
2	но и	1	27
3	и не	1	23
4	может быть	1	15
5	а не	1	13
6	и в	3	11
7	то же	1	8
8	не может	4	8
9	если бы	1	7
10	один из	2	6
11	к тому	1	6
12	в его	1	6
13	точки зрения	1	5
14	и на	1	5
15	для него	1	4
16	в ней	1	4
17	же время	1	4
18	из этих	1	4
19	в то	1	4
20	и все	1	3
21	исходя из	1	3
22	в центре	2	3
23	не менее	1	3
24	язык как	1	2
25	если в	2	2
26	так называемая	1	2
27	связи с	1	2
28	в особенности	1	2
29	по своим	1	2
30	ситуации и	1	2
31	и событий	1	1
32	русской литературы	1	1
33	его от	1	1
34	с точки	1	1
35	на нее	1	1
36	событий и	1	1
37	не из	1	1
38	не смог	1	1
39	языка как	1	1
40	тех же	1	1
41	о художественной	1	1
42	с другими	1	1
43	персонажей и	1	1
44	художественного целого	1	1
45	во второй	1	1
46	тому что	1	1
47	ни один	1	1
