N	3gram	Propp_Russ_2	Analitik
1	не может быть	3	16
2	в том что	18	9
3	в том чтобы	2	7
4	в отличие от	3	6
5	что иное как	2	5
6	не что иное	2	4
7	о том что	4	3
8	подобно тому как	3	3
9	с одной стороны	2	3
10	из того что	1	3
11	для того чтобы	6	3
12	состоит в том	13	3
13	с другой стороны	1	2
14	в этом отношении	1	2
15	но и в	1	2
16	в данном случае	6	2
17	во всяком случае	1	1
18	в том же	1	1
19	между тем как	1	1
20	только тогда когда	3	1
21	здесь мы имеем	1	1
22	приводит нас к	2	1
23	есть рассказ о	1	1
24	как и в	1	1
25	дело не в	1	1
26	и таким образом	1	1
27	но и как	1	1
28	в течение всего	1	1
29	в этой связи	1	1
30	на самом же	2	1
31	более или менее	1	1
32	на себя внимание	1	1
33	в свою очередь	1	1
34	более высокой ступени	1	1
35	смысле этого слова	1	1
36	в мировом фольклоре	1	1
37	в такой же	1	1
38	по аналогии с	1	1
39	самом же деле	2	1
40	далеко не все	1	1
41	или во всяком	1	1
42	умирающего и воскресающего	2	1
43	как мы увидим	1	1
44	вместе с тем	4	1
45	а вместе с	1	1
46	ставит себе целью	1	1
47	состоит не в	1	1
48	на первый взгляд	1	1
49	о том как	1	1
