N	4gram	Vygotskiy__5	Myshleni
1	заключается в том что	4	6
2	одного и того же	2	4
3	так же как и	1	4
4	в то время как	1	4
5	могли бы сказать что	2	3
6	мы могли бы сказать	2	3
7	состоит в том что	2	3
8	в том виде как	1	2
9	в собственном смысле слова	1	2
10	согласны в том что	1	2
11	одной и той же	2	2
12	с этой точки зрения	1	2
13	в силу того что	1	2
14	только потому что оно	1	1
15	в том что с	1	1
16	с другой стороны он	1	1
17	как раз обратным образом	1	1
18	противоречие заключается в том	1	1
19	приводит к тому что	1	1
20	можно было бы формулировать	1	1
21	это вполне совпадает с	1	1
22	с самого начала в	1	1
23	по своему психологическому значению	1	1
24	особенность состоит в том	1	1
25	что обе эти тенденции	1	1
26	вместе с тем мы	1	1
27	эта особенность состоит в	1	1
28	вполне совпадает с тем	1	1
29	если принять во внимание	1	1
30	принять во внимание что	1	1
31	что в основе его	1	1
32	в состоянии объяснить нам	1	1
33	не что иное как	2	1
34	мы видим таким образом	1	1
35	с одной стороны он	1	1
36	тот факт что в	1	1
37	видим таким образом что	1	1
38	указывает на то что	2	1
39	в конце концов к	1	1
40	сам по себе как	1	1
41	вперед по сравнению с	1	1
42	выступает на первый план	1	1
43	том виде как она	1	1
44	в том что в	1	1
45	заключается в том чтобы	1	1
46	шаг вперед по сравнению	1	1
47	из того что мы	1	1
48	не в состоянии объяснить	2	1
49	одним и тем же	3	1
50	в совершенно ином виде	1	1
