N	4gram	Vygotskiy__2	Stilisti
1	в то же время	2	7
2	одно и то же	1	4
3	в зависимости от того	1	2
4	мы никогда не сумеем	1	2
5	одной и той же	4	2
6	не что иное как	1	2
7	все больше и больше	1	2
8	одни и те же	2	2
9	в связи с этим	1	2
10	вместе с тем и	1	2
11	есть не что иное	1	2
12	которые в действительной жизни	1	1
13	то же самое и	1	1
14	ни на минуту не	1	1
15	как говорит один из	1	1
16	и не может быть	1	1
17	в жизни и в	1	1
18	одного и того же	1	1
19	приходится иметь дело с	2	1
20	и т.д что же	1	1
21	одна и та же	1	1
22	говорит один из героев	1	1
