N	4gram	Vinokur_Ku_3	Marksizm
1	в то же время	1	8
2	одного и того же	2	4
3	в той или иной	2	3
4	и пр и пр	1	3
5	ни в коем случае	1	2
6	в собственном смысле слова	1	2
7	той или иной степени	1	2
8	с нашей точки зрения	1	2
9	одним и тем же	2	2
10	уже о том что	1	1
11	не с точки зрения	1	1
12	в двух направлениях во-первых	2	1
13	той или иной форме	1	1
14	с какой точки зрения	1	1
15	то же самое что	1	1
16	языка какую дает нам	1	1
17	и не может быть	1	1
18	в коем случае нельзя	1	1
19	того или иного языкового	1	1
20	а может быть и	1	1
21	говоря уже о том	1	1
22	лишь с точки зрения	2	1
23	не говоря уже о	2	1
24	ни в какой мере	2	1
25	никогда не может быть	1	1
26	но для того чтобы	1	1
27	в зависимости от той	1	1
28	в самом деле как	1	1
29	в какой мере не	2	1
