N	3gram	Bakhtin_Fr_2	Formalny
1	с точки зрения	5	14
2	не может быть	4	14
3	на самом деле	1	12
4	в то же	6	7
5	то же время	6	7
6	во всяком случае	2	6
7	с другой стороны	3	5
8	подобно тому как	2	4
9	в большинстве случаев	1	4
10	для того чтобы	1	4
11	и не может	1	4
12	в том что	1	3
13	по отношению к	1	3
14	вовсе не является	1	3
15	в этом отношении	3	3
16	в художественном произведении	1	3
17	так и в	1	2
18	всяком случае в	1	2
19	и в то	2	2
20	до известной степени	1	2
21	ровно ничего не	1	2
22	в конце концов	1	2
23	вовсе не в	1	2
24	а и в	1	2
25	не только не	1	2
26	мы видели что	1	2
27	этого романа в	1	2
28	на самом же	1	2
29	только то что	2	2
30	как мы видели	2	2
31	самом же деле	1	2
32	дело в том	1	2
33	в пределах одной	2	2
34	о том что	3	1
35	с одной стороны	3	1
36	и тот же	1	1
37	значение в романе	1	1
38	мы можем сказать	1	1
39	одна из существеннейших	1	1
40	одной и той	1	1
41	и в литературе	1	1
42	в одной из	1	1
43	ни в коем	1	1
44	так и его	1	1
45	как и в	1	1
46	один и тот	1	1
47	можно сказать что	2	1
48	в виду прежде	2	1
49	в собственном смысле	2	1
50	именно в этом	1	1
51	в жизни так	1	1
52	в изобразительных искусствах	1	1
53	до сих пор	4	1
54	в его целом	3	1
55	еще вернемся в	1	1
56	имеем в виду	2	1
57	в этом случае	1	1
58	там где в	1	1
59	и вообще все	1	1
60	того или иного	1	1
61	в коем случае	1	1
62	более и более	1	1
63	свое выражение в	1	1
64	на то что	1	1
65	неизбежно должны были	1	1
66	в настоящее время	1	1
67	и той же	1	1
68	в значительной степени	2	1
69	не только в	5	1
70	мы еще вернемся	2	1
71	и даже в	2	1
72	для них было	1	1
73	мы имеем в	1	1
74	играют существеннейшую роль	1	1
75	до конца в	1	1
76	но все же	2	1
77	друг с другом	1	1
78	она никогда не	1	1
79	все это и	1	1
80	виду прежде всего	2	1
81	старой и новой	1	1
82	как не может	1	1
83	направлен не на	1	1
84	выходит за пределы	1	1
85	в самом процессе	1	1
86	можем сказать что	1	1
87	нам важно лишь	1	1
88	не нуждается в	1	1
89	не только на	1	1
90	художественных произведений и	1	1
91	все более и	1	1
92	в том же	1	1
93	но не менее	1	1
94	необходимо однако отметить	1	1
95	к действительности и	1	1
