N	3gram	Kanaev_Sov_1	KulturaY
1	в том что	1	15
2	с точки зрения	5	9
3	по отношению к	1	8
4	в самом деле	1	7
5	в зависимости от	4	5
6	во всяком случае	2	5
7	по крайней мере	1	5
8	до сих пор	1	4
9	тем не менее	2	4
10	не в том	1	4
11	в этом смысле	1	3
12	можно было бы	1	3
13	в связи с	1	3
14	в свою очередь	2	3
15	не может быть	4	3
16	на самом деле	1	2
17	в то же	1	2
18	но все же	1	2
19	в этом случае	1	2
20	то же время	1	2
21	в свое время	1	2
22	именно в том	1	2
23	у нас есть	1	2
24	и ничего не	1	1
25	с одной стороны	1	1
26	так же как	1	1
27	те или иные	1	1
28	до наших дней	1	1
29	и мы получим	1	1
30	в том случае	1	1
31	этот раз из	1	1
32	вопрос должен быть	1	1
33	но они не	1	1
34	и в то	1	1
35	следующим образом если	1	1
36	а может быть	1	1
37	то ни другое	1	1
38	что в ней	1	1
39	в настоящее время	2	1
40	тот или иной	1	1
41	не что иное	1	1
42	вместе с ним	1	1
43	и все те	1	1
44	и может быть	1	1
45	в отличие от	2	1
46	когда мы говорим	1	1
47	на этот вопрос	1	1
48	сами по себе	1	1
49	ни то ни	1	1
50	что иное как	1	1
51	с совершенно иными	1	1
52	по аналогии с	1	1
53	той или иной	1	1
54	и все же	1	1
55	у нас на	1	1
56	не может но	1	1
57	и действительное значение	1	1
58	на этот раз	1	1
59	мы говорим о	1	1
