N	4gram	Vinokur_Vv_1	Myshleni
1	с этой точки зрения	1	4
2	заключается в том что	2	4
3	одного и того же	2	3
4	в той мере в	4	3
5	состоит в том что	2	3
6	той мере в какой	4	2
7	на вопрос о том	4	2
8	в том что в	1	2
9	не иначе как через	1	2
10	по самой своей природе	2	2
11	ответ на этот вопрос	1	2
12	то же самое что	2	2
13	с одной стороны и	3	1
14	но вместе с тем	1	1
15	в собственном смысле слова	1	1
16	одно и то же	1	1
17	для того чтобы он	2	1
18	мере в какой они	1	1
19	вопрос о том что	3	1
20	для того чтобы сделать	1	1
21	одной и той же	2	1
22	представление о том что	1	1
23	не что иное как	4	1
24	мы имеем в виду	1	1
25	для того чтобы понять	2	1
26	заключается в том чтобы	1	1
27	в том виде как	1	1
28	но в этом случае	1	1
29	только в том что	1	1
30	ответить на этот вопрос	1	1
31	есть не что иное	2	1
