N	3gram	Nazirov_Vr_1	Myshleni
1	в том что	2	21
2	с точки зрения	2	18
3	заключается в том	1	7
4	в высшей степени	1	7
5	на то что	1	6
6	во всяком случае	1	6
7	в связи с	3	6
8	не может быть	2	6
9	о том что	1	4
10	а с другой	1	4
11	в этом отношении	1	3
12	в том же	1	2
13	в этом смысле	1	2
14	мы знаем о	1	2
15	причинами того что	1	2
16	речь идет о	1	2
17	и в самом	1	2
18	как раз в	2	2
19	так же как	1	1
20	о том как	1	1
21	точно так же	1	1
22	не только от	1	1
23	а также в	1	1
24	друг друга при	1	1
25	не только не	1	1
26	нам говорить о	1	1
27	до сих пор	1	1
28	на первый план	1	1
29	по нашему мнению	1	1
30	связи с этим	1	1
31	с другой стороны	1	1
32	шаг за шагом	1	1
33	с помощью которых	1	1
34	что в начале	2	1
35	у него в	1	1
36	и то что	1	1
37	еще один пример	1	1
38	в известном смысле	1	1
39	и во всей	1	1
40	и все же	5	1
41	но и от	1	1
42	что для нас	1	1
43	на этот раз	1	1
44	при этом он	1	1
