N	4gram	Potebnia_M_2	Myshleni
1	в то время как	3	4
2	подобно тому как в	1	3
3	один и тот же	1	3
4	одного и того же	6	3
5	в той мере в	1	3
6	состоит в том что	1	3
7	той мере в какой	1	2
8	в том что он	1	2
9	с одной стороны и	1	1
10	и связанное с ним	1	1
11	и не может понять	1	1
12	одно и то же	2	1
13	в этом случае мы	1	1
14	но само по себе	1	1
15	вопрос о том что	1	1
16	для того чтобы сделать	1	1
17	в том смысле что	1	1
18	одной и той же	1	1
19	мы до сих пор	1	1
20	прежде чем перейти к	1	1
21	то время как в	1	1
22	обозначения одного и того	1	1
23	только в том что	1	1
24	для обозначения одного и	1	1
25	и на все остальные	1	1
26	в известной связи с	1	1
27	есть большая разница между	1	1
