N	4gram	Vinokur_Ku_1	DiskursI
1	в то же время	2	3
2	одного и того же	2	2
3	а в том что	2	2
4	состояло в том что	1	1
5	заключается в том что	2	1
6	одно и то же	1	1
7	во всяком случае ясно	1	1
8	в одно и то	1	1
9	сошлюсь хотя бы на	1	1
10	в тех случаях когда	2	1
11	обратить внимание на то	2	1
12	в том что он	3	1
13	в том что не	1	1
14	состоит в том что	3	1
15	и в то же	1	1
16	только в том случае	1	1
17	не только потому что	1	1
18	не в том что	1	1
19	в том случае если	1	1
20	следует обратить внимание на	1	1
21	свидетельствует о том что	1	1
22	в тех или иных	1	1
23	целое в свою очередь	1	1
