N	2gram	Medvedev_V_1	VeschiIm
1	и не	1	28
2	и в	2	26
3	только в	1	14
4	и то	1	12
5	вещь и	1	11
6	потому что	1	10
7	то же	1	10
8	в том	2	9
9	в самом	1	9
10	но это	1	8
11	в этом	1	7
12	так как	1	7
13	том что	2	7
14	одно и	1	6
15	крайней мере	1	6
16	по крайней	1	6
17	и только	1	6
18	ясно что	1	6
19	даже не	1	4
20	в их	1	4
21	я не	1	4
22	как же	1	4
23	хотя бы	1	3
24	да и	1	3
25	тем более	1	3
26	все это	1	3
27	самом деле	1	3
28	а только	1	2
29	к чему	1	2
30	и его	1	2
31	дело в	1	2
32	ни к	1	2
33	в частности	1	2
34	главным образом	1	1
35	сводится к	1	1
36	в другом	1	1
37	конце концов	2	1
38	стоит на	1	1
39	более к	1	1
40	гораздо более	1	1
41	в теории	1	1
42	в конце	2	1
43	чего не	1	1
44	к этому	1	1
45	совершенно ясно	1	1
46	бы уже	1	1
47	одном и	1	1
48	имеется в	1	1
49	на одном	1	1
50	другое дело	1	1
51	достаточно но	1	1
52	все дело	1	1
53	далеко не	1	1
54	от других	1	1
55	по существу	1	1
