N	4gram	Tiupa_Teor_1	Problema
1	в той или иной	1	7
2	ни в коем случае	2	3
3	той или иной мере	1	3
4	не что иное как	1	2
5	себе отчет в том	1	2
6	есть не что иное	1	2
7	можно даже сказать что	1	1
8	в том числе и	1	1
9	и в то же	1	1
10	по себе еще не	1	1
11	заключается в том что	1	1
12	одном и том же	1	1
13	в коем случае не	2	1
14	в одном и том	1	1
15	в войне и мире	2	1
16	не содержит в себе	1	1
17	мы имеем дело с	1	1
18	бы то ни было	1	1
19	мы имеем в виду	3	1
20	еще и потому что	1	1
21	дело в том что	1	1
22	с точки зрения логики	1	1
