N	2gram	Voloshinov_1	Komedia
1	и в	3	26
2	и не	1	14
3	к тому	1	12
4	может быть	1	11
5	но и	1	10
6	если бы	1	9
7	и на	1	7
8	не только	1	7
9	в то	1	6
10	один из	2	5
11	из этих	1	4
12	тому что	1	4
13	не менее	1	4
14	в его	1	4
15	точки зрения	1	4
16	тех же	1	3
17	то же	1	3
18	в ней	1	3
19	в каждом	1	3
20	же время	1	3
21	связи с	1	3
22	не может	4	3
23	если в	2	2
24	и все	1	2
25	нет и	1	2
26	бы в	1	2
27	его от	1	1
28	во второй	1	1
29	вещей и	1	1
30	с точки	1	1
31	который условно	1	1
32	мы видим	1	1
33	для него	1	1
34	речь и	1	1
35	общения и	2	1
36	на примере	1	1
37	а не	1	1
38	несмотря на	1	1
39	исходя из	1	1
40	в системе	1	1
