N	4gram	Bakhtin_Pr_1	Dialekti
1	в то же время	3	4
2	с одной стороны и	1	2
3	с точки зрения самого	2	2
4	и в то же	2	2
5	мы можем сказать что	1	2
6	не может и не	2	2
7	несмотря на то что	1	2
8	и тем не менее	1	1
9	дело в том что	1	1
10	каково бы ни было	1	1
11	в коем случае не	2	1
12	ни в какой мере	1	1
13	если бы не было	1	1
14	не что иное как	1	1
15	в то время как	1	1
16	иметь в виду что	1	1
17	ни в чем не	2	1
18	должно быть ясно что	1	1
19	но в то же	1	1
20	ни в коем случае	2	1
21	и в этом отношении	1	1
22	может и не должна	2	1
23	есть не что иное	1	1
24	никогда не может быть	1	1
25	на самом же деле	1	1
