1	и тем не менее	1	4
2	в то же время	7	3
3	и т п в	2	2
4	с этой точки зрения	1	2
5	в каждый данный момент	1	2
6	нужно иметь в виду	1	1
7	бы то ни было	4	1
8	лишь в той мере	1	1
9	дело в том что	1	1
10	еще и иное значение	1	1
11	а следовательно и в	1	1
12	это положение нуждается в	1	1
13	т п т е	1	1
14	той мере в какой	1	1
15	в огромном большинстве случаев	1	1
16	все более и более	1	1
17	о которых идет речь	1	1
18	какой бы то ни	1	1
19	в том или ином	1	1
20	и т п т	1	1
21	одной и той же	1	1
22	и пр и пр	1	1
23	не может и не	1	1
24	вовсе не потому что	1	1
25	в зависимости от того	1	1
26	иметь в виду что	1	1
27	в той мере в	1	1
28	дело не в том	1	1
29	ведь на самом деле	2	1
