N	4gram	Ircho_Kome_3	Myshleni
1	с этой точки зрения	1	4
2	с одной стороны и	1	3
3	состоит в том что	1	3
4	в этом случае в	1	2
5	в том что она	1	2
6	с точки зрения самого	1	2
7	то же самое что	1	2
8	в то время как	2	2
9	который в свою очередь	1	1
10	в том числе и	1	1
11	как и всякий другой	1	1
12	и там и здесь	1	1
13	с точки зрения того	1	1
14	для того чтобы показать	1	1
15	с самого начала не	1	1
16	несмотря на то что	1	1
17	для того чтобы в	1	1
18	но вместе с тем	1	1
19	следует рассматривать не как	1	1
20	сомнения в том что	1	1
