N	3gram	Tiupa_Vved_1	Freidism
1	по отношению к	7	8
2	во всяком случае	1	7
3	не может быть	3	7
4	и прежде всего	1	5
5	в зависимости от	1	4
6	то же время	3	4
7	в то же	4	4
8	в данном случае	6	4
9	на самом деле	3	4
10	можно сказать что	1	4
11	как мы видели	2	4
12	если бы он	1	3
13	в таком случае	1	3
14	к тому чтобы	1	3
15	и тот же	1	3
16	один и тот	1	3
17	в свою очередь	4	3
18	прежде всего к	1	3
19	в конечном счете	1	3
20	то же самое	1	2
21	в отличие от	2	2
22	а с другой	2	2
23	благодаря тому что	1	2
24	все то что	1	2
25	в этом отношении	4	2
26	с одной стороны	5	2
27	тем не менее	3	2
28	в высшей степени	2	2
29	ни о каких	1	1
30	в нашем сознании	1	1
31	следует заметить что	1	1
32	в котором он	1	1
33	те же самые	1	1
34	в этом случае	1	1
35	до известной степени	1	1
36	друг на друга	1	1
37	не было бы	1	1
38	а во время	1	1
39	в котором мы	1	1
40	по аналогии с	1	1
41	из того что	1	1
42	в основе своей	1	1
43	по крайней мере	1	1
44	можно ли признать	1	1
45	отнюдь не является	1	1
46	все что может	1	1
47	на первый взгляд	1	1
48	но при этом	2	1
49	как будто бы	3	1
50	все без исключения	1	1
51	находится за пределами	1	1
52	то что он	1	1
53	из них не	1	1
54	и все же	4	1
55	физическое так и	1	1
56	мы не можем	1	1
57	все что находится	1	1
58	что же остается	1	1
59	то что мы	1	1
60	сказать и о	1	1
61	о том что	4	1
62	той или иной	2	1
63	он сам называет	1	1
64	но и не	1	1
65	но и по	1	1
66	в этом смысле	1	1
67	обратим внимание на	1	1
68	во всех его	1	1
69	в том что	3	1
