N	4gram	Vinokur_St_1	Vvedenie
1	в то же время	4	6
2	той мере в какой	1	5
3	и т д но	4	5
4	в той мере в	1	5
5	не трудно видеть что	1	4
6	и в самом деле	2	3
7	вопрос о том что	1	3
8	но в то же	2	3
9	в том отношении что	2	3
10	и в том отношении	1	2
11	так или иначе но	1	2
12	и т д в	1	2
13	заключается в том что	2	2
14	ответ на этот вопрос	1	2
15	второй половины xix в	1	2
16	на вопрос о том	1	2
17	но также и в	1	2
18	только в применении к	1	2
19	дело в том что	4	2
20	по тем или иным	1	2
21	сомнений в том что	1	2
22	для того чтобы лучше	1	1
23	в ее отношении к	1	1
24	до сих пор и	1	1
25	во всяком случае не	1	1
26	в том-то и дело	1	1
27	и говорить о том	1	1
28	в той или иной	1	1
29	уже о том что	1	1
30	когда мы имеем дело	1	1
31	том-то и дело что	1	1
32	но с другой стороны	2	1
33	и т д и	2	1
34	также в том что	1	1
35	но в том-то и	1	1
36	сих пор и в	1	1
37	но если таким образом	1	1
38	жизни и творчества пушкина	2	1
39	то что могло оказаться	1	1
40	т д иными словами	1	1
41	нечего и говорить о	1	1
42	на тему о том	1	1
43	вовсе не в том	1	1
44	не говоря уже о	1	1
45	в том чтобы выяснить	1	1
46	не может быть и	1	1
47	заключается вовсе не в	1	1
48	виде в каком он	1	1
49	есть существенная разница между	1	1
50	мы имеем дело с	1	1
51	того чтобы можно было	1	1
52	дело не только в	1	1
53	говорить о том что	1	1
54	и в этом отношении	1	1
55	том что нет вообще	1	1
56	также и то что	1	1
57	для того чтобы можно	1	1
58	может быть и речи	1	1
59	не только в том	1	1
60	и т д иными	1	1
