N	3gram	Tiupa_Anal_3	Istorich
1	до сих пор	1	5
2	с другой стороны	5	4
3	не может быть	1	4
4	что иное как	1	3
5	в этом случае	1	3
6	не что иное	1	3
7	в данном случае	3	3
8	о том что	5	2
9	так и в	1	2
10	тех случаях когда	1	2
11	не только в	1	2
12	на этот вопрос	1	2
13	в связи с	1	2
14	в тех случаях	1	2
15	с этой стороны	1	2
16	о чем речь	2	2
17	тем не менее	2	2
18	подобно тому как	2	1
19	с этими последними	1	1
20	тогда как в	1	1
21	что и в	1	1
22	ничего не говорит	1	1
23	в большинстве случаев	1	1
24	таким же образом	1	1
25	здесь мы имеем	1	1
26	с этого момента	1	1
27	не только по	1	1
28	как и в	4	1
29	можно сказать что	2	1
30	не только как	1	1
31	с ними в	1	1
32	не всегда представляется	1	1
33	и в особенности	1	1
34	тем более что	1	1
35	что он не	1	1
36	с этим можно	1	1
37	и может быть	1	1
38	то что они	1	1
39	в связь с	1	1
40	в основе своей	1	1
41	при всей своей	1	1
42	а в его	1	1
43	не могут быть	1	1
44	на передний план	1	1
45	и в форме	2	1
46	а в тех	1	1
47	есть не что	1	1
48	в зависимости от	1	1
49	указывает на его	1	1
50	загробный мир и	1	1
51	не в том	1	1
52	и не всегда	1	1
53	между собой и	1	1
54	необходимо отличать от	1	1
