N	3gram	Berdyaev_V_1	Dialekti
1	и т д	2	15
2	по крайней мере	1	9
3	в том что	2	6
4	с другой стороны	1	4
5	д и т	1	2
6	не могут быть	1	2
7	т д и	1	2
8	и то и	1	1
9	с тем чтобы	1	1
10	во что бы	1	1
11	я думаю что	1	1
12	но и в	2	1
13	бы то ни	1	1
14	по сравнению с	1	1
15	это еще не	2	1
16	да и то	1	1
17	и в этом	1	1
18	в конце концов	1	1
19	не есть метафизическое	1	1
20	но все же	1	1
21	и это еще	1	1
22	к тому что	3	1
23	то ни стало	1	1
24	бы и не	2	1
25	за то что	3	1
26	что бы то	1	1
27	к чему же	1	1
28	в искусстве но	1	1
29	то что мы	3	1
30	и вместе с	1	1
31	как не есть	1	1
32	находить ее в	1	1
33	я был в	1	1
34	том что он	2	1
35	вместе с тем	1	1
36	есть прежде всего	1	1
37	в жизни и	1	1
38	то и другое	1	1
39	не утверждение личности	1	1
