N	3gram	Tiupa_Anal_2	KFilosof
1	по отношению к	4	21
2	не может быть	1	11
3	с точки зрения	2	10
4	в данный момент	1	3
5	в этом смысле	2	3
6	и в этом	4	3
7	между тем как	1	3
8	того или иного	3	3
9	в то же	2	2
10	и тот же	1	2
11	в том что	6	2
12	то же время	2	2
13	той или иной	3	2
14	во всех этих	1	2
15	тем не менее	3	2
16	в соответствии с	2	2
17	и тем самым	2	1
18	между прочим и	1	1
19	другого но не	1	1
20	и во всех	1	1
21	мышление интонирующее мышление	1	1
22	по которой он	1	1
23	всех этих случаях	1	1
24	в известном смысле	1	1
25	в противном случае	1	1
26	на то что	2	1
27	дело не в	1	1
28	не совпадает с	1	1
29	к тому что	1	1
30	есть эмоционально-волевое мышление	1	1
31	эмоционально-волевое мышление интонирующее	1	1
32	то же самое	1	1
33	же самое что	1	1
34	и то что	2	1
35	между субъектом и	1	1
36	хотя бы и	1	1
37	не имеет места	1	1
38	но отнюдь не	1	1
39	в том смысле	1	1
40	я и другой	1	1
41	в значительной степени	2	1
42	вступает в противоречие	1	1
43	не менее в	1	1
44	в конечном счете	2	1
45	в данном контексте	1	1
46	и не знает	1	1
47	я в мире	1	1
48	не о том	1	1
49	в своей истории	1	1
50	во второй половине	1	1
51	со всех сторон	1	1
52	лишь однажды в	1	1
53	в свою очередь	1	1
54	в противоречие с	1	1
55	несмотря на то	1	1
56	как и на	1	1
