N	4gram	Vygotskiy__3	Vvedenie
1	о том что такое	1	5
2	и в самом деле	9	3
3	заключается в том что	4	2
4	одной и той же	1	2
5	состоит в том что	1	2
6	одно и то же	2	1
7	была с самого начала	1	1
8	как если бы оно	1	1
9	для того чтобы эта	1	1
10	с этой точки зрения	1	1
11	в данном случае и	1	1
12	то для того чтобы	1	1
13	в самом деле даже	1	1
14	вовсе не в том	1	1
15	заключается вовсе не в	1	1
16	не вытекает из самого	1	1
17	заключается в том чтобы	1	1
18	и в этом отношении	1	1
19	того что в ней	1	1
20	ничего не может быть	1	1
21	из него следует что	1	1
