N	3gram	Medvedev_U_1	Narrotol
1	в том что	2	8
2	не только в	1	6
3	в данном случае	1	6
4	с одной стороны	1	5
5	в то же	3	3
6	в конечном счете	4	3
7	можно сказать что	1	3
8	в этом отношении	2	3
9	то же время	3	3
10	не может быть	4	2
11	в этом смысле	2	1
12	не впадая в	1	1
13	так или иначе	1	1
14	показательна в этом	1	1
15	и в то	1	1
16	до сих пор	2	1
17	в противном случае	2	1
18	а между тем	2	1
19	то же самое	2	1
20	на первый взгляд	1	1
21	не только к	1	1
22	более или менее	1	1
23	достоевского и толстого	1	1
24	то что было	1	1
25	в самом деле	2	1
26	не входит в	1	1
27	а не только	1	1
28	не в том	1	1
29	смысле можно сказать	1	1
