N	4gram	Tiupa_Hudo_2	DiskursI
1	в то же время	4	3
2	в том числе и	1	2
3	к той или иной	1	2
4	в том что в	1	2
5	если можно так выразиться	2	1
6	заключается в том что	1	1
7	упускать из виду что	1	1
8	ни о чем не	1	1
9	бахтин по отношению к	1	1
10	строгом значении этого термина	1	1
11	мы имеем дело с	1	1
12	это в значительной степени	1	1
13	состоит в том что	2	1
14	не несет в себе	1	1
15	и в то же	2	1
16	не только в том	2	1
17	в том случае если	1	1
18	только в том что	2	1
19	дело в том что	1	1
20	единством места времени и	1	1
21	в строгом значении этого	1	1
