N	3gram	Nazirov_Tv_2	Myshleni
1	в том что	2	21
2	в высшей степени	1	7
3	во всяком случае	2	6
4	в связи с	1	6
5	не может быть	3	6
6	по отношению к	3	5
7	на этот вопрос	2	5
8	можно было бы	1	5
9	о том что	2	4
10	в самом деле	2	4
11	а с другой	1	4
12	в конечном счете	1	4
13	в предисловии к	1	4
14	мы не можем	1	3
15	в том числе	1	3
16	мы уже говорили	1	3
17	в отличие от	2	3
18	том числе и	1	3
19	на всем протяжении	1	2
20	в том же	2	2
21	том что в	1	2
22	в другом месте	1	2
23	мы видим в	1	2
24	или во всяком	1	2
25	на точку зрения	1	1
26	как нечто внешнее	1	1
27	с самого начала	1	1
28	так же как	2	1
29	о том как	1	1
30	мы не находим	1	1
31	и потому что	1	1
32	что в них	1	1
33	точно так же	1	1
34	именно потому что	1	1
35	как и в	1	1
36	в целом и	2	1
37	он говорит что	1	1
38	именно в этом	2	1
39	к которым приводит	1	1
40	до сих пор	3	1
41	по себе не	1	1
42	как только его	1	1
43	по нашему мнению	4	1
44	в том смысле	1	1
45	с другой стороны	2	1
46	ничего общего с	1	1
47	ответ на этот	1	1
48	он приходит к	1	1
49	привело нас к	1	1
50	к тому же	1	1
51	по сути дела	3	1
52	сами по себе	1	1
53	в частности в	1	1
54	той или иной	1	1
55	в применении к	1	1
56	только то что	1	1
57	не могут быть	1	1
58	имеет в виду	1	1
59	того факта что	1	1
60	и мы не	1	1
61	он утверждает что	1	1
62	которые играют в	1	1
63	являются как бы	1	1
64	том смысле что	1	1
65	в известном смысле	1	1
66	дело в том	1	1
67	это все же	1	1
