N	4gram	Potebnia_M_4	Istorich
1	уже после того как	1	2
2	только после того как	1	1
3	том смысле в каком	1	1
4	в том числе и	1	1
5	в то же время	3	1
6	с другой стороны в	1	1
7	вопрос о том что	1	1
8	по мере того как	4	1
9	в том смысле в	1	1
10	выводы можно сделать из	1	1
11	менее можно сказать что	1	1
12	не менее можно сказать	1	1
13	иметь в виду что	1	1
14	если бы мы не	1	1
15	выше мы видели что	1	1
16	таким образом мы видим	1	1
17	но тем не менее	2	1
18	и вместе с тем	1	1
19	в этом случае мы	1	1
20	играет ту же роль	1	1
21	говорит так как человек	1	1
22	тем не менее можно	1	1
23	ту же роль что	1	1
24	и т д то	1	1
25	только в том что	1	1
