N	4gram	Voloshinov_1	Analitik
1	в то же время	7	6
2	не что иное как	2	4
3	и не может быть	1	4
4	есть не что иное	2	3
5	то же самое время	2	2
6	в то же самое	2	2
7	одного и того же	1	2
8	но в то же	2	2
9	нет и не может	1	2
10	иметь дело не с	1	1
11	мысль о том что	1	1
12	сколько бы мы ни	1	1
13	мы должны помнить что	1	1
14	в той же мере	1	1
15	одно и то же	3	1
16	он в то же	1	1
17	в собственном смысле слова	1	1
18	одной и той же	2	1
19	одни и те же	1	1
20	одна и та же	1	1
21	во всех своих частях	1	1
