N	3gram	Propp_Isto_4	Vladivir
1	о том что	2	7
2	то что он	2	5
3	и то что	5	4
4	на то что	3	4
5	мы увидим ниже	1	3
6	с другой стороны	4	3
7	что он не	1	3
8	не может быть	4	3
9	нужно прибавить что	1	2
10	и по своим	1	2
11	что и в	1	2
12	тем более что	1	2
13	так как он	2	2
14	можно сказать что	1	2
15	в то время	1	2
16	не только в	2	2
17	как это мы	1	2
18	что у него	1	2
19	мы знаем что	7	2
20	как мы увидим	1	2
21	тем не менее	2	2
22	и т д	24	2
23	это и есть	1	1
24	может быть речи	1	1
25	указывает на его	1	1
26	не потому что	1	1
27	и тем самым	1	1
28	в таких случаях	2	1
29	так и в	2	1
30	к своему отцу	2	1
31	то время как	1	1
32	из них не	1	1
33	что он как	1	1
34	и в особенности	1	1
35	хотя бы на	1	1
36	т д в	1	1
37	именно так как	1	1
38	в целом и	1	1
39	по своей основной	1	1
40	указывает на то	1	1
41	к тому что	1	1
42	и тут же	1	1
43	и отец и	1	1
44	вовсе не есть	1	1
45	и действительно в	1	1
46	и не может	1	1
47	и то же	1	1
48	за то что	1	1
49	свою связь с	1	1
50	указать на два	1	1
51	не было никакого	1	1
52	и в египте	1	1
53	в этот момент	1	1
54	не что иное	3	1
55	но он не	1	1
56	ответы на все	1	1
57	в себе черты	1	1
58	указать еще на	1	1
59	в связи с	2	1
60	содержит в себе	2	1
61	только с помощью	1	1
62	и вместе с	1	1
63	от своего отца	1	1
64	смысле этого слова	2	1
65	мы еще встретимся	1	1
66	вместе с тем	1	1
67	есть не что	1	1
68	и по существу	1	1
69	что в доме	1	1
70	у него по	1	1
71	то что этот	1	1
72	у него есть	1	1
73	что иное как	3	1
74	здесь мы имеем	1	1
75	мы уже знаем	1	1
76	быть речи о	1	1
77	то чего не	1	1
78	что дело не	1	1
79	если бы мы	1	1
80	мы уже видели	1	1
81	на себя их	1	1
82	одно и то	1	1
