N	4gram	Medvedev_F_3	Myslijsy
1	по мере того как	1	4
2	в то же время	7	3
3	все более и более	1	2
4	и по отношению к	1	2
5	один и тот же	1	2
6	вместе с тем и	1	2
7	в том числе и	1	1
8	с другой стороны в	1	1
9	и сами по себе	1	1
10	иначе и быть не	1	1
11	одного и того же	1	1
12	одним и тем же	2	1
13	что же касается до	1	1
14	можно говорить о языке	1	1
15	и не может быть	3	1
16	одной и той же	1	1
17	не в том что	1	1
18	нет и не может	2	1
19	к одной и той	1	1
20	дело в том что	1	1
21	иметь в виду что	1	1
