N	3gram	Medvedev_F_1	DiskursI
1	в отличие от	1	12
2	в данном случае	1	6
3	в том что	1	6
4	то же время	8	5
5	по отношению к	4	4
6	в этом отношении	1	4
7	в то же	8	4
8	с одной стороны	4	4
9	так и в	4	3
10	не может быть	5	3
11	и может быть	1	2
12	одной стороны и	4	2
13	состоит в том	1	2
14	как и всякое	1	2
15	с точки зрения	13	2
16	и не может	2	2
17	не сводится к	2	2
18	так и на	1	2
19	и как бы	1	2
20	по своей природе	1	1
21	для этого она	1	1
22	средства изображения и	2	1
23	прежде всего в	3	1
24	же время и	1	1
25	того или иного	2	1
26	друг от друга	2	1
27	с другой стороны	1	1
28	художественного целого отнюдь	1	1
29	целого отнюдь не	1	1
30	и в то	1	1
31	можно говорить о	1	1
32	в искусстве не	1	1
33	бы то ни	3	1
34	но для этого	1	1
35	по аналогии с	3	1
36	при этом не	1	1
37	в предыдущей главе	1	1
38	отнюдь не является	1	1
39	не приводит к	1	1
40	и в частности	2	1
41	в это время	1	1
42	в целом и	1	1
43	в своем творчестве	1	1
44	в применении к	2	1
45	из виду что	2	1
46	свои формы и	1	1
47	то ни было	1	1
48	целом и в	1	1
49	говоря уже о	1	1
50	а также и	1	1
51	не столько в	1	1
52	и в пределах	1	1
53	так и с	1	1
54	а не как	1	1
55	быть и не	2	1
56	во всяком случае	4	1
57	между тем как	1	1
58	взаимодействия при этом	1	1
59	та или иная	1	1
60	во внешнем мире	1	1
61	с самого начала	1	1
62	но все эти	1	1
63	не менее в	1	1
64	становления и развития	1	1
65	один из важнейших	1	1
66	в большинстве случаев	2	1
67	и здесь в	1	1
68	а часто и	2	1
69	в том числе	1	1
70	тем не менее	1	1
71	изображения и выражения	1	1
72	все то что	1	1
73	том числе и	1	1
74	в пределах одного	1	1
75	не говоря уже	1	1
