N	3gram	Tiupa_Lite_2	Istorich
1	и то что	1	5
2	с другой стороны	4	4
3	не может быть	7	4
4	в этом случае	2	3
5	как мы видели	1	3
6	в данном случае	3	3
7	о том что	2	2
8	то же самое	1	2
9	после того как	1	2
10	тем не менее	2	2
11	подобно тому как	2	1
12	мы не можем	1	1
13	с ним а	1	1
14	в том числе	2	1
15	из которых он	1	1
16	к тому что	1	1
17	не только как	1	1
18	но как правило	1	1
19	что он не	1	1
20	и не может	1	1
21	за то что	2	1
22	ничего общего с	1	1
23	не мог бы	1	1
24	которые не могут	1	1
25	в основе своей	1	1
26	и даже в	1	1
27	при всей своей	2	1
28	не могут быть	1	1
29	что на нем	1	1
30	вместе с тем	1	1
31	не в том	1	1
32	во всех этих	1	1
33	и то же	2	1
34	этом случае мы	1	1
35	одно и то	2	1
