N	2gram	Medvedev_V_1	Stilisti
1	и в	2	42
2	и т.д	1	20
3	хотя бы	1	17
4	то же	1	15
5	и не	1	14
6	в этом	1	10
7	потому что	1	7
8	и его	1	7
9	только в	1	7
10	так как	1	7
11	в конце	2	6
12	речи и	1	6
13	одно и	1	5
14	что язык	1	5
15	все время	1	4
16	в самом	1	4
17	все это	1	4
18	самом деле	1	4
19	и то	1	4
20	конце концов	2	3
21	главным образом	1	3
22	да и	1	3
23	том что	2	3
24	для них	1	2
25	гораздо более	1	2
26	в значительной	1	2
27	все то	1	2
28	к чему	1	2
29	в том	2	2
30	ясно что	1	2
31	значительной степени	1	2
32	в частности	1	2
33	в которых	1	2
34	к этому	1	2
35	ни к	1	2
36	но это	1	2
37	столь же	1	1
38	не одно	1	1
39	вопросы стилистики	1	1
40	даже не	1	1
41	крайней мере	1	1
42	в устах	1	1
43	и положения	1	1
44	социальных отношений	1	1
45	на одном	1	1
46	в их	1	1
47	чего не	1	1
48	от общего	1	1
49	теснейшим образом	1	1
50	более чем	1	1
51	сводится в	1	1
52	говоря о	1	1
53	другое дело	1	1
54	другом месте	1	1
55	по крайней	1	1
56	том же	1	1
57	именно в	1	1
58	одном и	1	1
59	говорили в	1	1
60	их как	1	1
61	и том	1	1
62	техники и	1	1
63	тем более	1	1
64	я не	1	1
65	в другом	1	1
66	чем больше	1	1
67	не будем	1	1
68	как же	1	1
