N	3gram	Berdyaev_O_1	Psycholo
1	для того чтобы	3	19
2	в том что	1	12
3	о том что	1	10
4	в самом деле	1	7
5	на то что	1	6
6	друг с другом	1	4
7	и в этом	2	3
8	смысле этого слова	1	3
9	то что в	1	3
10	во всяком случае	1	3
11	до самого конца	2	2
12	сам по себе	1	2
13	о том как	1	2
14	все это было	1	2
15	вместо того чтобы	1	2
16	и в самом	1	2
17	в нем нет	3	2
18	в виду не	1	1
19	и в ее	1	1
20	она и не	1	1
21	может быть он	1	1
22	жизнь а в	1	1
23	и никогда не	2	1
24	этом никто не	1	1
25	того чтобы сделать	1	1
26	друг к другу	1	1
27	с тем что	2	1
28	и не может	1	1
29	указывали на то	1	1
30	как бы в	1	1
31	и есть та	1	1
32	у него в	5	1
33	а не в	2	1
34	а не только	1	1
35	но он еще	1	1
36	и он всегда	1	1
37	человеческой природы и	2	1
38	человеческой природы но	2	1
39	претворить его в	1	1
40	у него не	2	1
41	и в самой	2	1
42	не может быть	2	1
43	человек и в	1	1
