N	4gram	Vygotskiy__4	StatiiOP
1	в том числе и	2	2
2	на то что в	1	2
3	заключается в том что	13	2
4	в том что в	1	2
5	в том отношении что	1	2
6	одним и тем же	3	2
7	в том что здесь	1	2
8	бы они ни были	1	1
9	невозможные с точки зрения	1	1
10	той и другой стороны	1	1
11	том смысле как мы	1	1
12	одних и тех же	1	1
13	внимание на то что	1	1
14	в том смысле что	1	1
15	настоящем смысле этого слова	1	1
16	с точки зрения задач	1	1
17	мы имеем дело с	1	1
18	в этой области это	1	1
19	отделены друг от друга	1	1
20	в том смысле как	1	1
21	не говоря уже о	1	1
22	в настоящем смысле этого	1	1
23	что с точки зрения	1	1
24	обратил внимание на то	1	1
25	у нас нет никаких	1	1
26	не может не быть	1	1
27	в том что он	1	1
28	с нашей точки зрения	2	1
29	ответа на вопрос о	1	1
30	только в том что	2	1
31	нас нет никаких оснований	1	1
32	не отделены друг от	1	1
33	так же как и	4	1
34	в то время как	1	1
35	на вопрос о том	1	1
36	и на этот раз	1	1
