N	3gram	Medvedev_U_1	Psycholo
1	в самом деле	2	18
2	на то что	1	12
3	в том что	2	11
4	то же самое	2	8
5	с одной стороны	1	5
6	с другой стороны	3	5
7	до сих пор	2	5
8	и то что	2	3
9	между тем в	1	2
10	что она должна	1	2
11	не в том	1	2
12	в данном случае	1	2
13	конечно не в	1	1
14	точном смысле этого	1	1
15	уж тем что	1	1
16	идет не о	1	1
17	что для него	1	1
18	в той же	1	1
19	но конечно не	1	1
20	в точном смысле	1	1
21	можно сказать что	1	1
22	на каждом шагу	2	1
23	а между тем	2	1
24	говорит он в	1	1
25	больше чем то	1	1
26	имеем в виду	1	1
27	в сторону от	1	1
28	с тем что	1	1
29	не может быть	4	1
30	том что она	1	1
31	что все они	1	1
32	не было бы	1	1
33	более или менее	1	1
34	определяется не столько	1	1
35	которые подходят к	1	1
36	и что все	1	1
37	так много в	1	1
38	в этом отношении	2	1
39	мы можем его	1	1
40	как раз обратное	1	1
41	которые могли бы	1	1
42	чем то что	1	1
43	это было бы	1	1
44	очевидно что и	1	1
45	в этом плане	1	1
