N	3gram	Tiupa_Anal_3	KFilosof
1	по отношению к	7	21
2	не может быть	1	11
3	с точки зрения	2	10
4	как момент его	1	6
5	в этом смысле	1	3
6	между тем как	1	3
7	того или иного	1	3
8	на самом деле	1	3
9	есть на самом	1	2
10	в то же	3	2
11	но лишь в	1	2
12	вопрос о том	1	2
13	другое дело когда	1	2
14	уже не может	1	2
15	здесь мы имеем	1	2
16	один и тот	1	2
17	и тот же	1	2
18	в том что	7	2
19	то же время	3	2
20	той или иной	3	2
21	тем не менее	2	2
22	дело здесь не	1	2
23	не для того	1	1
24	которой он не	1	1
25	лишь в момент	1	1
26	в большинстве случаев	1	1
27	для него самого	1	1
28	по себе а	1	1
29	не должно быть	1	1
30	со стороны его	1	1
31	и не должно	1	1
32	это уже не	1	1
33	тем или иным	2	1
34	ведь это не	1	1
35	в известном смысле	1	1
36	для того чтобы	1	1
37	отнюдь еще не	1	1
38	дело не в	1	1
39	мы имеем не	1	1
40	что и в	1	1
41	и того же	3	1
42	вмещает в себя	1	1
43	и как бы	1	1
44	само по себе	1	1
45	как если бы	1	1
46	хотя бы и	1	1
47	в значительной степени	2	1
48	во всяком случае	2	1
49	и может быть	1	1
50	в основе своей	1	1
51	одного и того	3	1
52	в конечном счете	2	1
53	в этом мире	1	1
54	позицию по отношению	1	1
55	в данном контексте	1	1
56	я в мире	2	1
57	со всех сторон	1	1
58	в зависимости от	1	1
59	случае мы имеем	1	1
60	в себя и	1	1
61	как бы ни	1	1
62	дело в том	2	1
63	и все же	1	1
64	не в том	1	1
65	в первом случае	1	1
66	ту или иную	1	1
67	а не как	1	1
68	в свою очередь	4	1
69	в противоречие с	1	1
70	том что мы	1	1
