N	4gram	Tiupa_Lite_1	Narrotol
1	в то же время	5	3
2	бы то ни было	1	3
3	именно в том что	1	2
4	состоит в том что	4	2
5	какой бы то ни	1	1
6	в этом своем качестве	1	1
7	в рамках коммуникативного события	1	1
8	в связи с чем	2	1
9	взаимодействия креативного и рецептивного	1	1
10	согласно весьма точной характеристике	1	1
11	с этой точки зрения	3	1
12	всего в том что	1	1
13	прежде всего в том	1	1
14	одного и того же	1	1
15	в том что он	1	1
16	дело в том что	2	1
17	креативного и рецептивного сознаний	1	1
