N	3gram	Tiupa_Hudo_2	slovoVRo
1	и т п	2	33
2	не может быть	3	15
3	в пределах одного	1	7
4	в этом случае	1	6
5	в значительной степени	1	6
6	с одной стороны	3	5
7	той или иной	1	5
8	то же время	4	4
9	в том что	11	4
10	по отношению к	7	4
11	в то же	4	4
12	но все же	1	4
13	в этом отношении	1	3
14	с точки зрения	2	3
15	а также и	1	2
16	для того чтобы	3	2
17	до сих пор	2	2
18	человека и его	1	2
19	и т д	2	2
20	хотя бы и	2	2
21	не только в	2	2
22	к чужому слову	1	2
23	зрения на мир	1	2
24	а в том	1	1
25	с самого начала	1	1
26	о том что	7	1
27	между тем как	1	1
28	том что в	3	1
29	в том числе	1	1
30	дело не только	2	1
31	и в то	2	1
32	более глубокое и	1	1
33	как и в	3	1
34	не только не	2	1
35	с другой стороны	1	1
36	однако и здесь	1	1
37	что он не	1	1
38	и с ее	1	1
39	как он сам	2	1
40	более и более	1	1
41	в этой роли	1	1
42	о нем он	1	1
43	рядом с собой	2	1
44	том числе и	1	1
45	а не в	2	1
46	в соединении с	1	1
47	как например в	1	1
48	это так сказать	1	1
49	все более и	1	1
50	том что она	2	1
51	тем не менее	3	1
52	того или иного	2	1
