N	4gram	Potebnia_M_4	Hudozhes
1	в то же время	3	6
2	одного и того же	1	3
3	в том числе и	1	2
4	в том и состоит	1	2
5	во всех подобных случаях	1	2
6	следует иметь в виду	1	1
7	не что иное как	2	1
8	смысле можно говорить о	1	1
9	и по отношению к	2	1
10	том и состоит чтобы	1	1
11	одним и тем же	1	1
12	случае мы имеем дело	1	1
13	есть не что иное	1	1
14	по отношению к нему	1	1
15	ни прибавить ни убавить	1	1
16	мы имеем дело с	1	1
17	даже в том случае	1	1
18	в том случае если	1	1
19	иметь в виду что	1	1
20	мы имеем дело не	1	1
21	тем не менее не	1	1
