N	4gram	Medvedev_V_1	UchenyiS
1	расположения и обработки словесных	1	1
2	и в частности гораздо	1	1
3	расположению образов чем к	1	1
4	обработки словесных материалов и	1	1
5	и обработки словесных материалов	1	1
6	образов чем к созданию	1	1
7	накоплению и выявлению новых	1	1
8	приемов расположения и обработки	1	1
9	вся работа поэтических школ	1	1
10	материалов и в частности	1	1
11	сводится к накоплению и	1	1
12	новых приемов расположения и	1	1
13	выявлению новых приемов расположения	1	1
14	к расположению образов чем	1	1
15	словесных материалов и в	1	1
16	и выявлению новых приемов	1	1
17	к накоплению и выявлению	1	1
18	чем к созданию их	1	1
