N	3gram	Savitsky_P_1	Dialekti
1	и т д	1	15
2	в том что	4	9
3	с точки зрения	3	9
4	в то же	7	6
5	то же время	7	6
6	не может быть	1	6
7	для того чтобы	1	5
8	и тем более	1	4
9	не в том	1	4
10	в этом смысле	1	4
11	само по себе	1	4
12	и в этом	1	3
13	без того что	1	3
14	есть прежде всего	1	3
15	и в частности	1	2
16	по сравнению с	1	2
17	и в то	2	2
18	но в то	1	2
19	хотя бы и	1	2
20	в сравнении с	3	2
21	говорить о личности	1	2
22	та или иная	1	2
23	в собственном смысле	1	2
24	можно говорить о	1	1
25	и вот как	1	1
26	если мы не	1	1
27	мы видим в	1	1
28	и именно в	1	1
29	что с точки	1	1
30	– все это	1	1
31	и знать что	1	1
32	не только в	4	1
33	в окружающем ее	1	1
34	что в этом	1	1
35	очень и очень	1	1
36	мы отнюдь не	1	1
37	с ними как	1	1
38	и не может	1	1
39	и не только	2	1
40	не более как	1	1
41	и то что	1	1
42	значило бы что	1	1
43	совершенно ясно что	1	1
44	в отличие от	1	1
45	не было бы	1	1
46	но также и	1	1
47	с другой стороны	1	1
48	вобрать в себя	1	1
49	в каком смысле	1	1
50	в ней и	1	1
51	в отношении к	5	1
52	если бы мы	1	1
